logged_at,season,jornada,partido,fecha,home,away,mercado,ambito,linea,prob,seleccion
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,corners,Local,5.5,0.3376,UNDER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,corners,Visitante,3.5,0.7609,OVER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,corners,Visitante,4.5,0.6171,OVER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,corners,Visitante,5.5,0.4738,UNDER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,yellows,Total,2.5,0.7349,OVER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,yellows,Total,3.5,0.5428,OVER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,yellows,Total,4.5,0.3588,UNDER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,yellows,Total,5.5,0.2137,UNDER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,yellows,Total,6.5,0.1158,UNDER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,yellows,Local,1.5,0.5961,OVER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,yellows,Local,2.5,0.3024,UNDER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,yellows,Visitante,1.5,0.6238,OVER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,yellows,Visitante,2.5,0.3288,UNDER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,fouls,Total,19.5,0.7221,OVER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,fouls,Total,21.5,0.556,OVER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,fouls,Total,23.5,0.383,UNDER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,fouls,Total,25.5,0.2364,UNDER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,shots,Total,20.5,0.7148,OVER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,shots,Total,22.5,0.5757,OVER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,shots,Total,24.5,0.4306,UNDER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,shots,Total,26.5,0.2949,UNDER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,shots,Local,9.5,0.6323,OVER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,shots,Local,11.5,0.4384,UNDER
